project_id,pipeline_id,pipeline_start,pipeline_finish,pipeline_duration,cicd_server_avg_watts_consumption,monitoring_pc_avg_watts_consumption
21,1903,1716145213,1716145592,379,49.135402368421055,14.800926105263159
21,1904,1716146239,1716146613,374,49.35572939473684,14.648418763157897
21,1905,1716147265,1716147639,374,50.56094727777778,15.037660459459461
21,1906,1716148292,1716148667,375,50.691098756756766,14.897332756756759
21,1907,1716149317,1716149745,428,50.16207804761904,14.731288325581396
21,1908,1716150404,1716150819,415,51.667510121951224,14.722859024390242
21,1909,1716151430,1716151803,373,50.16635491891892,14.475138394736842
21,1910,1716152456,1716152829,373,50.284066513513515,14.647951864864863
21,1911,1716153482,1716153874,392,50.806241692307694,14.818457230769232
21,1912,1716154509,1716154880,371,49.90085878378379,14.783686891891893
21,1913,1716155535,1716155906,371,50.58012340540541,14.538980513513515
21,1914,1716156561,1716156928,367,49.84324399999999,14.35467262162162
21,1915,1716157587,1716157959,372,50.29675021621621,14.610210594594596
21,1916,1716158614,1716158990,376,50.294208972972974,14.444954162162162
21,1917,1716159640,1716160061,421,46.47709825581395,14.424713418604652
21,1918,1716160726,1716161104,378,55.3108964736842,14.654659736842108
21,1919,1716161752,1716162129,377,50.633018694444445,14.897807756756757
21,1920,1716162779,1716163157,378,50.017084473684214,14.511423815789476
21,1921,1716163805,1716164179,374,49.39280280555555,14.443978864864869
21,1922,1716164831,1716165204,373,50.25451913513512,14.561790026315789
21,1923,1716165857,1716166227,370,50.008938270270264,14.483226621621622
21,1924,1716166883,1716167256,373,50.5976275945946,14.807474756756758
21,1925,1716167910,1716168279,369,49.70843748648648,14.549916675675673
21,1926,1716168936,1716169314,378,49.210083837837836,14.562163263157895
21,1927,1716169962,1716170337,375,50.7928135945946,14.430612945945944
21,1928,1716170988,1716171357,369,50.830660249999994,14.481901378378378
21,1929,1716172014,1716172388,374,50.57689681081082,14.564812864864868
21,1930,1716173040,1716173407,367,50.15174583783784,14.767016405405403
21,1931,1716174066,1716174438,372,50.31530380555555,14.772511555555553
21,1932,1716175092,1716175471,379,49.693096710526326,14.788870842105261
21,1933,1716176119,1716176489,370,49.684791583333336,14.564682972972971
21,1934,1716177145,1716177513,368,50.85606218918919,14.542143324324325
21,1935,1716178171,1716178540,369,50.638973805555544,14.411681513513512
21,1936,1716179198,1716179564,366,49.85979181081082,14.577474081081082
21,1937,1716180224,1716180589,365,50.672876583333334,14.34335175
21,1938,1716181250,1716181622,372,49.88401259459459,14.412266315789473
21,1939,1716182276,1716182645,369,50.51969467567567,14.289944837837838
21,1940,1716183303,1716183671,368,50.99909344444444,14.317799918918922
21,1941,1716184329,1716184698,369,50.278338270270275,14.622543675675676
21,1942,1716185355,1716185731,376,50.012093078947366,14.311003
21,1943,1716186381,1716186749,368,51.00022054285714,14.400211729729731
21,1944,1716187407,1716187789,382,49.234656473684204,14.399141289473683
21,1945,1716188433,1716188812,379,49.61690297297297,14.4161415
21,1946,1716189460,1716189831,371,49.13533218421051,14.356302789473684
21,1947,1716190486,1716190853,367,50.75346005405406,14.250667918918921
21,1948,1716191512,1716191885,373,50.65719037837837,14.331463972972974
21,1949,1716192538,1716192912,374,49.51310163157896,14.41598044736842
21,1950,1716193564,1716193938,374,49.848737361111105,14.479336972972975
21,1951,1716194590,1716194962,372,50.41902900000001,14.39341436842105
21,1952,1716195616,1716195989,373,51.20296480555554,14.33664891891892
